"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "HTML", "XML", "JavaScript", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065726_application_process.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 4, 61
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065916_students_and_enrollments.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 3, 28
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065943_timetabling.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 2, 27
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004070004_financial_engine.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 6
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004070025_rls_policies.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 5, 2, 43
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251005024114_auth_profile_sync.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 10, 7, 59
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251007090000_add_enhanced_application_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 14, 14, 88
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251007093010_setup_application_storage.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 8, 45
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251007111000_rename_qualifications_to_programs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 13, 44
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251007111500_program_lookups_and_fks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 5, 18, 85
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251007113000_programs_rls_policies.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 7, 24
